# Vehicle generations, keyed by the make and model corgi-rs decodes.
#
# vPIC does not record generations: NHTSA registers what a vehicle *is*, not
# how the manufacturer markets its redesign cycle. This table supplies them.
#
# Columns: make, model, year_from, year_to, ordinal, code, name
#   year_to  0 means the generation is still current
#   ordinal  0 means the generation has no commonly used number
#   code     the manufacturer's platform or chassis code, blank when there is none
#
# Model years, inclusive, as the VIN encodes them -- not calendar years.
# Boundaries are checked against the VIN body codes of ~627,000 auction lots by
# tools/check_generations.sh; see tools/README.md.
Toyota	Camry	1992	1996	0	XV10	XV10
Toyota	Camry	1997	2001	0	XV20	XV20
Toyota	Camry	2002	2006	0	XV30	XV30
Toyota	Camry	2007	2011	0	XV40	XV40
Toyota	Camry	2012	2017	0	XV50	XV50
Toyota	Camry	2018	2024	0	XV70	XV70
Toyota	Camry	2025	0	0	XV80	XV80
Honda	Civic	1996	2000	6	EJ/EK/EM	6th generation
Honda	Civic	2001	2005	7	ES/EM2/EP	7th generation
Honda	Civic	2006	2011	8	FA/FG/FD	8th generation
Honda	Civic	2012	2015	9	FB/FG	9th generation
Honda	Civic	2016	2021	10	FC/FK	10th generation
Honda	Civic	2022	0	11	FE/FL	11th generation
Honda	Accord	1994	1997	5	CD	5th generation
Honda	Accord	1998	2002	6	CG/CF	6th generation
Honda	Accord	2003	2007	7	CM/CL	7th generation
Honda	Accord	2008	2012	8	CP/CS	8th generation
Honda	Accord	2013	2017	9	CR	9th generation
Honda	Accord	2018	2022	10	CV	10th generation
Honda	Accord	2023	0	11	CY	11th generation
Toyota	Corolla	1993	1997	7	E100	E100
Toyota	Corolla	1998	2002	8	E110	E110
Toyota	Corolla	2003	2008	9	E120	E120
Toyota	Corolla	2009	2013	10	E140	E140
Toyota	Corolla	2014	2019	11	E170	E170
Toyota	Corolla	2020	0	12	E210	E210
Ford	F-150	1992	1996	9		9th generation
Ford	F-150	1997	2003	10	PN96	10th generation
Ford	F-150	2004	2008	11	P221	11th generation
Ford	F-150	2009	2014	12	P415	12th generation
Ford	F-150	2015	2020	13	P552	13th generation
Ford	F-150	2021	0	14	P702	14th generation
Chevrolet	Silverado	1999	2006	1	GMT800	GMT800
Chevrolet	Silverado	2007	2013	2	GMT900	GMT900
